MemberID,Email,Model_Y,True_Y,Prob_churn
15634602,15634602@gmail.com,0,1,0.15830428609609687
15647311,15647311@gmail.com,0,0,0.27656732257372735
15619304,15619304@gmail.com,0,1,0.286622065748785
15701354,15701354@gmail.com,0,0,0.2754239901515124
15737888,15737888@gmail.com,0,0,0.2728530073595335
15574012,15574012@gmail.com,0,1,0.29421273055250524
15592531,15592531@gmail.com,0,0,0.06254880872044728
15656148,15656148@gmail.com,0,1,0.19044912262033617
15792365,15792365@gmail.com,0,0,0.11653887916694439
15592389,15592389@gmail.com,0,0,0.049925097303349424
15767821,15767821@gmail.com,0,0,0.08940433406648898
15737173,15737173@gmail.com,0,0,0.03929117670942729
15632264,15632264@gmail.com,0,0,0.09862567631572068
15691483,15691483@gmail.com,0,0,0.12845165039474088
15600882,15600882@gmail.com,0,0,0.0641644133857864
15643966,15643966@gmail.com,0,0,0.23069832091079712
15737452,15737452@gmail.com,0,1,0.4643165678501636
15788218,15788218@gmail.com,0,0,0.023183518407089657
15661507,15661507@gmail.com,0,0,0.3210397136303997
15568982,15568982@gmail.com,0,0,0.014631926722378553
15577657,15577657@gmail.com,0,0,0.07314953686641106
15597945,15597945@gmail.com,0,0,0.15489783863806722
15699309,15699309@gmail.com,0,1,0.4305975078116443
15725737,15725737@gmail.com,0,0,0.07455585846080648
15625047,15625047@gmail.com,0,0,0.15595864620805408
15738191,15738191@gmail.com,0,0,0.03196186476756353
15736816,15736816@gmail.com,0,0,0.2871253134013624
15700772,15700772@gmail.com,0,0,0.16608373146259664
15728693,15728693@gmail.com,0,0,0.39638202680957507
15656300,15656300@gmail.com,0,0,0.032910632507874356
15589475,15589475@gmail.com,0,1,0.3046765253746365
15706552,15706552@gmail.com,0,0,0.12748265652239704
15750181,15750181@gmail.com,0,0,0.3962681509957559
15659428,15659428@gmail.com,0,0,0.1669539952934739
15732963,15732963@gmail.com,0,0,0.06770283237367693
15794171,15794171@gmail.com,0,1,0.4139131362514686
15788448,15788448@gmail.com,0,0,0.09048786227377026
15729599,15729599@gmail.com,0,0,0.06471972970720918
15717426,15717426@gmail.com,0,0,0.08461279451212972
15585768,15585768@gmail.com,0,0,0.20109505404614672
15619360,15619360@gmail.com,0,0,0.29648053356546644
15738148,15738148@gmail.com,0,1,0.43154458450067734
15687946,15687946@gmail.com,0,0,0.41881134054126673
15755196,15755196@gmail.com,0,1,0.42873637413418514
15684171,15684171@gmail.com,1,0,0.5582785347632883
15754849,15754849@gmail.com,0,0,0.12867943062538914
15602280,15602280@gmail.com,0,1,0.15233237466625832
15771573,15771573@gmail.com,0,1,0.3810966012720437
15766205,15766205@gmail.com,0,0,0.2711931642266744
15771873,15771873@gmail.com,1,0,0.5399978580017706
15616550,15616550@gmail.com,0,0,0.39345270167719276
15768193,15768193@gmail.com,0,0,0.4414405485615895
15683553,15683553@gmail.com,0,0,0.11117739496893478
15702298,15702298@gmail.com,0,1,0.49840784907513974
15569590,15569590@gmail.com,0,1,0.44122246069695503
15760861,15760861@gmail.com,0,0,0.13900697812622306
15630053,15630053@gmail.com,0,0,0.26717374546987166
15647091,15647091@gmail.com,0,0,0.09110932682268613
15623944,15623944@gmail.com,1,1,0.6566169736274556
15804771,15804771@gmail.com,0,0,0.10895123913888775
15651280,15651280@gmail.com,0,0,0.2509930214929823
15773469,15773469@gmail.com,0,0,0.31902366390515186
15702014,15702014@gmail.com,0,0,0.13824037204361792
15751208,15751208@gmail.com,0,0,0.15859065298782324
15592461,15592461@gmail.com,0,0,0.10068755610259486
15789484,15789484@gmail.com,0,0,0.31108318129728296
15696061,15696061@gmail.com,0,0,0.3457466294060814
15641582,15641582@gmail.com,0,0,0.21001508025218843
15638424,15638424@gmail.com,0,0,0.1563984513937461
15755648,15755648@gmail.com,0,0,0.05927616648435534
15703793,15703793@gmail.com,0,1,0.2776191082699714
15620344,15620344@gmail.com,0,0,0.07555759748499939
15812518,15812518@gmail.com,0,0,0.31944549128482
15779052,15779052@gmail.com,0,0,0.14648865313348797
15770811,15770811@gmail.com,0,0,0.08394807467157651
15780961,15780961@gmail.com,0,0,0.05959867353174214
15614049,15614049@gmail.com,0,0,0.07227393820576074
15662085,15662085@gmail.com,0,0,0.05847233659390696
15575185,15575185@gmail.com,0,0,0.07113037386383066
15803136,15803136@gmail.com,1,0,0.5349570526560342
15706021,15706021@gmail.com,0,0,0.150164487115813
15663706,15663706@gmail.com,0,1,0.14099360257779628
15641732,15641732@gmail.com,0,0,0.2654217814526182
15701164,15701164@gmail.com,0,0,0.07809421659289995
15738751,15738751@gmail.com,0,0,0.2522552685018897
15805254,15805254@gmail.com,0,0,0.369576010439509
15762418,15762418@gmail.com,0,1,0.06604306561814655
15625759,15625759@gmail.com,0,0,0.06450219820431659
15622897,15622897@gmail.com,0,1,0.20614872820745547
15767954,15767954@gmail.com,0,0,0.1318850093886299
15757535,15757535@gmail.com,0,1,0.148539118096389
15731511,15731511@gmail.com,0,0,0.21192147148302262
15809248,15809248@gmail.com,0,0,0.25873765939855925
15640635,15640635@gmail.com,0,0,0.02703912487607087
15676966,15676966@gmail.com,0,0,0.11461795562596935
15699461,15699461@gmail.com,0,0,0.0872325506807393
15738721,15738721@gmail.com,0,0,0.16667863064285862
15693683,15693683@gmail.com,0,0,0.07600532279001812
15604348,15604348@gmail.com,0,0,0.03656075422940668
15633059,15633059@gmail.com,0,0,0.06427813087902377
15808582,15808582@gmail.com,0,0,0.1625063752699857
15743192,15743192@gmail.com,0,0,0.28729749073691196
15580146,15580146@gmail.com,0,0,0.0885609515122147
15776605,15776605@gmail.com,0,0,0.23633558238627853
15804919,15804919@gmail.com,0,1,0.4765056223661897
15613854,15613854@gmail.com,0,1,0.19989580462204232
15599195,15599195@gmail.com,0,0,0.09360906408769021
15812878,15812878@gmail.com,0,0,0.3555907769785498
15602312,15602312@gmail.com,0,0,0.18774274211581565
15744689,15744689@gmail.com,0,1,0.21428889715956714
15803526,15803526@gmail.com,0,0,0.10354614736164258
15665790,15665790@gmail.com,0,0,0.36682983599864055
15715951,15715951@gmail.com,0,0,0.28114043859552174
15591100,15591100@gmail.com,0,0,0.16049227873461258
15609618,15609618@gmail.com,0,1,0.0921961103536243
15675522,15675522@gmail.com,0,0,0.12780318531836718
15705512,15705512@gmail.com,1,0,0.6245605613856972
15698028,15698028@gmail.com,0,0,0.2614422249452698
15661670,15661670@gmail.com,0,1,0.34497693749373587
15600781,15600781@gmail.com,0,0,0.20921460633098266
15682472,15682472@gmail.com,0,0,0.08373604681868412
15580203,15580203@gmail.com,0,0,0.3598385747605677
15690673,15690673@gmail.com,0,0,0.2631927950193772
15760085,15760085@gmail.com,0,0,0.38085871803917015
15779659,15779659@gmail.com,0,0,0.16611066576605155
15627360,15627360@gmail.com,0,1,0.29013060439380894
15671137,15671137@gmail.com,0,1,0.1590544921465001
15782688,15782688@gmail.com,0,1,0.49684614319794845
15575492,15575492@gmail.com,0,0,0.25198960905791723
15591607,15591607@gmail.com,0,0,0.038924857947486804
15740404,15740404@gmail.com,0,0,0.046798455359288726
15718369,15718369@gmail.com,0,0,0.16207017632796367
15677871,15677871@gmail.com,0,0,0.11357736412286082
15642004,15642004@gmail.com,0,0,0.027336843490812633
15712543,15712543@gmail.com,0,0,0.20536481876443183
15584518,15584518@gmail.com,0,0,0.30622264030220736
15802381,15802381@gmail.com,0,0,0.17602305961868753
15610156,15610156@gmail.com,0,0,0.13778824005529627
15594408,15594408@gmail.com,1,1,0.5213093771597196
15640905,15640905@gmail.com,0,1,0.09628838002978292
15698932,15698932@gmail.com,0,0,0.4842666941833149
15724944,15724944@gmail.com,0,0,0.02928322485009336
15628145,15628145@gmail.com,0,0,0.20957064896892688
15713483,15713483@gmail.com,0,1,0.30443192488408105
15612350,15612350@gmail.com,0,1,0.15515517658855058
15800703,15800703@gmail.com,0,0,0.04404788209429443
15705707,15705707@gmail.com,0,0,0.2186336701664281
15754105,15754105@gmail.com,0,0,0.25749891044968654
15703264,15703264@gmail.com,0,0,0.24410451831547172
15794413,15794413@gmail.com,0,0,0.030345540905334974
15650237,15650237@gmail.com,0,0,0.14753169067599228
15759618,15759618@gmail.com,0,1,0.3242769113616534
15811589,15811589@gmail.com,0,0,0.250837716210628
15689044,15689044@gmail.com,0,0,0.28520101668663783
15709368,15709368@gmail.com,0,0,0.12117667382504005
15679145,15679145@gmail.com,0,1,0.2650485778900448
15655007,15655007@gmail.com,0,0,0.1070257949351005
15623595,15623595@gmail.com,0,0,0.07088653898360081
15589975,15589975@gmail.com,0,0,0.40381871730675406
15804017,15804017@gmail.com,0,0,0.37564939551330223
15692132,15692132@gmail.com,0,0,0.04215780182787245
15641122,15641122@gmail.com,0,0,0.0668686488621767
15630910,15630910@gmail.com,0,0,0.3505033175408555
